,POSIÇÃO,NOME,TIME,JOGOS,PREÇO,MÉDIA,MÍNIMO
536,GOL,Walter,CUI,12,12.22,4.61,2.7
210,GOL,João Ricardo,CEA,12,5.28,3.55,0.51
127,GOL,Bento,CAP,14,7.69,4.66,2.2
14,GOL,Weverton,PAL,11,10.28,4.18,1.03
352,LAT,Matheuzinho,FLA,9,6.85,4.36,2.07
342,LAT,Renê,INT,9,6.91,4.31,2.95
373,LAT,Lucas Piton,COR,11,15.22,6.66,4.97
288,LAT,Saravia,BOT,13,8.18,4.37,3.0
543,LAT,Matheus Alexandre,CFC,9,8.85,5.38,4.34
93,LAT,Raúl Cáceres,AME,9,4.77,3.65,1.34
129,LAT,Khellven ,CAP,11,4.74,4.23,0.46
3,LAT,Piquerez,PAL,8,7.55,6.46,2.69
18,LAT,Guilherme Arana,CAM,9,11.27,4.11,1.3
126,LAT,Abner Vinícius,CAP,13,7.54,3.98,2.57
280,ZAG,Junior Alonso,CAM,13,12.1,4.03,1.15
221,ZAG,Natan,BGT,9,8.54,4.99,3.49
738,ZAG,Matheus Felipe,CAP,9,4.09,3.54,0.91
24,ZAG,Gustavo Gómez,PAL,9,15.25,8.6,2.63
764,ZAG,Vitor Mendes,JUV,8,4.37,3.97,0.6
354,ZAG,Raul Gustavo,COR,12,8.12,4.97,3.58
474,MEI,Patrick,SAO,10,8.23,4.41,1.12
488,MEI,Rodrigo Nestor,SAO,12,7.01,3.63,2.09
42,MEI,Marlon Freitas,ACG,14,7.33,3.89,2.62
44,MEI,Yago Pikachu,FOR,11,10.32,5.61,3.08
50,MEI,Terans,CAP,12,9.53,4.91,3.67
40,MEI,Hyoran,BGT,9,7.73,5.72,2.23
38,MEI,Gustavo Scarpa,PAL,12,12.37,8.24,6.33
67,MEI,Willian,COR,11,14.45,4.61,3.6
99,MEI,Alê,AME,10,8.82,3.96,2.94
0,MEI,Raphael Veiga,PAL,8,14.72,5.74,3.13
141,MEI,Wellington Rato,ACG,14,9.74,4.35,0.82
328,MEI,Gomes,FLA,10,10.75,4.59,2.63
333,MEI,Gustavo Mantuan,COR,12,9.64,4.76,2.49
358,MEI,Adson,COR,10,7.78,4.84,1.58
429,MEI,André,FLU,11,6.49,3.51,1.01
434,MEI,Zé Rafael,PAL,12,13.55,6.17,3.55
408,MEI,Hércules,FOR,9,4.22,3.75,2.01
255,ATA,Léo Gamalho,CFC,8,13.05,6.29,2.41
47,ATA,Artur,BGT,9,7.59,6.01,2.43
52,ATA,Marcos Leonardo,SAN,11,12.16,6.95,1.57
206,ATA,Wanderson,INT,10,4.1,3.53,0.71
697,ATA,Muriqui,AVA,12,10.05,5.24,0.7
702,ATA,Ademir,CAM,13,11.09,3.91,2.07
709,ATA,Carlos de Pena,INT,12,5.43,3.71,1.74
72,ATA,Mendoza,CEA,11,12.99,7.7,4.59
471,ATA,Gabriel Veron,PAL,9,5.33,4.37,1.4
111,ATA,Pablo,CAP,9,5.69,4.39,1.4
84,ATA,Cano,FLU,14,12.33,5.55,3.42
66,ATA,Dudu,PAL,13,11.45,4.62,1.95
174,ATA,Erison,BOT,13,12.25,5.82,1.66
602,ATA,Óscar Ruíz,JUV,9,8.96,4.6,1.2
59,ATA,Calleri,SAO,14,24.56,7.58,4.75
592,ATA,Fabrício,CFC,10,7.53,4.53,3.27
351,ATA,Igor Paixão,CFC,12,14.4,6.84,3.08
284,ATA,Rwan,SAN,8,3.28,3.56,-0.34
633,TEC,Jorginho,ACG,8,8.05,4.31,2.73
739,TEC,Vagner Mancini,AME,13,6.81,3.54,2.27
26,TEC,Abel Ferreira,PAL,13,12.94,6.53,4.46
