,POSIÇÃO,NOME,TIME,JOGOS,PREÇO,MÉDIA,MÍNIMO
657,GOL,Bruno,FLA,0,1.0,0.0,1.37
537,GOL,Vinicius Machado,CEA,1,2.81,7.0,5.01
652,GOL,Anthoni,INT,0,1.0,0.0,1.37
139,GOL,Everson,CAM,12,12.08,3.79,6.61
138,GOL,Jailson,AME,12,7.43,3.25,6.34
619,GOL,Gabriel Pereira,CAP,0,1.0,0.0,1.37
636,GOL,Paulo Mazoti,SAN,0,1.0,0.0,1.37
131,GOL,Douglas Borges,BOT,0,3.0,0.0,4.15
733,GOL,Arthur,JUV,0,1.0,0.0,1.37
547,GOL,Matheus Donelli,COR,2,2.53,0.5,1.74
122,GOL,Richard,CEA,0,5.0,0.0,6.93
385,GOL,Marcelo Rangel,GOI,0,4.0,0.0,5.54
114,GOL,Fernando Miguel,FOR,0,7.0,0.0,9.71
690,GOL,Rafael William,CFC,2,0.91,1.5,0.07
111,GOL,Douglas Friedrich,AVA,10,7.06,2.17,6.69
109,GOL,Júlio César,BGT,0,5.0,0.0,6.93
106,GOL,Weverton,PAL,10,10.58,4.6,1.46
554,GOL,Luis Felype,GOI,0,1.0,0.0,1.37
290,GOL,Thiago Couto,SAO,0,2.0,0.0,2.76
654,GOL,Pedro Rangel,FLU,0,1.0,0.0,1.37
351,GOL,Ronaldo,ACG,11,5.46,3.74,1.08
389,GOL,Daniel,INT,13,7.05,3.07,0.48
559,GOL,Emerson Júnior,INT,0,1.0,0.0,1.37
92,GOL,Rafael,CAM,0,5.0,0.0,6.93
90,GOL,Marcelo Boeck,FOR,7,4.91,2.71,7.52
390,GOL,Vinícius,CUI,0,1.0,0.0,1.37
85,GOL,Fábio,FLU,13,11.3,4.23,7.26
666,GOL,Robson,AME,0,1.0,0.0,1.37
79,GOL,João Carlos,CUI,1,3.36,2.0,2.66
686,GOL,Gustavo Ramalho,FLU,0,1.0,0.0,1.37
480,GOL,Carlos Miguel,COR,0,1.0,0.0,1.37
535,GOL,Capellari,CUI,0,1.0,0.0,1.37
356,GOL,Keiller,INT,0,1.12,-1.0,4.68
694,GOL,Diógenes ,SAN,0,2.0,0.0,2.76
236,GOL,César,JUV,12,4.14,2.03,4.58
233,GOL,Luan Polli,ACG,2,5.03,2.25,5.89
499,GOL,Maycon,BGT,0,2.0,0.0,2.76
633,GOL,Mateus,PAL,0,1.0,0.0,1.37
364,GOL,Ivan,COR,0,6.0,0.0,8.32
489,GOL,Matheus Mendes,CAM,0,2.0,0.0,2.76
507,GOL,André,CEA,0,1.0,0.0,1.37
209,GOL,Glédson,AVA,0,1.98,-1.0,5.26
256,GOL,John Victor,SAN,0,6.0,0.0,8.32
205,GOL,Gatito Fernández,BOT,11,6.23,2.76,1.88
408,GOL,Cláudio Vitor,AVA,0,1.0,0.0,1.37
203,GOL,João Ricardo,CEA,11,6.19,3.87,4.72
697,GOL,Kaique,PAL,0,1.0,0.0,1.37
713,GOL,Gabriel Delfim,CAM,0,1.0,0.0,1.37
71,GOL,Renan,ACG,0,4.0,0.0,5.54
486,GOL,João,AVA,0,1.0,0.0,1.37
189,GOL,Vinicius Silvestre,PAL,0,4.0,0.0,5.54
188,GOL,João Paulo,SAN,12,12.92,3.85,2.36
651,GOL,Matheus Cunha,FLA,0,2.0,0.0,2.76
183,GOL,Jandrei,SAO,13,7.19,2.65,2.65
265,GOL,Tadeu,GOI,13,7.05,3.98,1.19
523,GOL,Igo,BOT,0,1.0,0.0,1.37
524,GOL,Lucão,BGT,0,3.0,0.0,4.15
444,GOL,Diego Loureiro,BOT,2,2.06,0.5,2.23
483,GOL,William,JUV,0,2.0,0.0,2.76
163,GOL,Felipe Alves,JUV,0,7.0,0.0,9.71
270,GOL,Matheus Alves,GOI,0,1.13,-1.0,5.3
160,GOL,Max Walef,FOR,5,2.88,1.4,2.26
159,GOL,Matheus Cavichioli,AME,0,7.0,0.0,9.71
155,GOL,Airton,AME,1,2.61,6.0,4.5
192,GOL,Marcos Felipe,FLU,0,7.0,0.0,9.71
68,GOL,Santos,FLA,0,11.0,0.0,15.27
